ICD-10 Code,Description,Matters from an Anaesthesia perspective,"Suggested value on ""surgical"" CC lists",Comment
D691,Qualitative platelet defects,Yes,1,
D692,Other nonthrombocytopenic purpura,Yes,1,
D693,Idiopathic thrombocytopenic purpura,Yes,1,
D694,Other primary thrombocytopenia,Yes,1,
D695,Secondary thrombocytopenia,Yes,1,
D696,"Thrombocytopenia, unspecified",Yes,1,
D698,Other specified haemorrhagic conditions,Yes,1,
D699,"Haemorrhagic condition, unspecified",Yes,1,
D70X,Agranulocytosis,No,,
D71X,Functional disorders of polymorphonuclear neutrophils,No,,
D720,Genetic anomalies of leukocytes,No,,
D721,Eosinophilia,No,,
D728,Other specified disorders of white blood cells,No,,
D729,"Disorder of white blood cells, unspecified",No,,
D730,Hyposplenism,No,,
D731,Hypersplenism,No,,
D732,Chronic congestive splenomegaly,No,,
D733,Abscess of spleen,No,,
D734,Cyst of spleen,No,,
D735,Infarction of spleen,No,,
D738,Other diseases of spleen,No,,
D739,"Disease of spleen, unspecified",No,,
D740,Congenital methaemoglobinaemia,Yes,1,
D748,Other methaemoglobinaemias,Yes,1,
D749,"Methaemoglobinaemia, unspecified",Yes,1,
D750,Familial erythrocytosis,No,,
D751,Secondary polycythaemia,Yes,1,
D758,Other specified diseases of blood and blood-forming organs,No,,
D759,"Disease of blood and blood-forming organs, unspecified",No,,
D761,Haemophagocytic lymphohistiocytosis,Yes,1,
D762,"Haemophagocytic syndrome, infection-associated",Yes,1,
D763,Other histiocytosis syndromes,Yes,1,
D77X,Other disorders of blood and blood-forming organs in diseases classified elsewhere,No,,
D800,Hereditary hypogammaglobulinaemia,No,,
D801,Nonfamilial hypogammaglobulinaemia,No,,
D802,Selective deficiency of immunoglobulin A [IgA],No,,
D803,Selective deficiency of immunoglobulin G [IgG] subclasses,No,,
D804,Selective deficiency of immunoglobulin M [IgM],No,,
D805,Immunodeficiency with increased immunoglobulin M [IgM],No,,
D806,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,No,,
D807,Transient hypogammaglobulinaemia of infancy,No,,
D808,Other immunodeficiencies with predominantly antibody defects,No,,
D809,"Immunodeficiency with predominantly antibody defects, unspecified",No,,
D810,Severe combined immunodeficiency [SCID] with reticular dysgenesis,No,,
D811,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers,No,,
D812,Severe combined immunodeficiency [SCID] with low or normal B-cell numbers,No,,
D813,Adenosine deaminase [ADA] deficiency,No,,
D814,Nezelof syndrome,No,,
D815,Purine nucleoside phosphorylase [PNP] deficiency,No,,
D816,Major histocompatibility complex class I deficiency,No,,
D817,Major histocompatibility complex class II deficiency,No,,
D818,Other combined immunodeficiencies,No,,
D819,"Combined immunodeficiency, unspecified",No,,
D820,Wiskott-Aldrich syndrome,Yes,1,Skin
D821,Di George syndrome,Yes,1,
D822,Immunodeficiency with short-limbed stature,No,,
D823,Immunodeficiency following hereditary defective response to Epstein-Barr virus,No,,
D824,Hyperimmunoglobulin E [IgE] syndrome,No,,
D828,Immunodeficiency associated with other specified major defects,Yes,1,
D829,"Immunodeficiency associated with major defect, unspecified",Yes,1,
D830,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function,No,,
D831,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders,No,,
D832,Common variable immunodeficiency with autoantibodies to B- or T-cells,No,,
D838,Other common variable immunodeficiencies,No,,
D839,"Common variable immunodeficiency, unspecified",No,,
D840,Lymphocyte function antigen-1 [LFA-1] defect,No,,
D841,Defects in the complement system,No,,
D848,Other specified immunodeficiencies,No,,
D849,"Immunodeficiency, unspecified",No,,
D860,Sarcoidosis of lung,Yes,1,
D861,Sarcoidosis of lymph nodes,No,,
D862,Sarcoidosis of lung with sarcoidosis of lymph nodes,Yes,1,
D863,Sarcoidosis of skin,No,,
D868,Sarcoidosis of other and combined sites,No,,
D869,"Sarcoidosis, unspecified",Yes,1,
D890,Polyclonal hypergammaglobulinaemia,No,,
D891,Cryoglobulinaemia,Yes,1,Might need plasma exchange
D892,"Hypergammaglobulinaemia, unspecified",Yes,1,Might need plasma exchange
D893,Immune reconstitution syndrome,Yes,1,
D898,"Other specified disorders involving the immune mechanism, not elsewhere classified",No,,
D899,"Disorder involving the immune mechanism, unspecified",No,,
E000,"Congenital iodine-deficiency syndrome, neurological type",Yes,1,Drug metabolism
E001,"Congenital iodine-deficiency syndrome, myxoedematous type",Yes,1,Drug metabolism
E002,"Congenital iodine-deficiency syndrome, mixed type",Yes,1,Drug metabolism
E009,"Congenital iodine-deficiency syndrome, unspecified",Yes,1,Drug metabolism
E010,Iodine-deficiency-related diffuse (endemic) goitre,Yes,1,Potential difficult airway
E011,Iodine-deficiency-related multinodular (endemic) goitre,Yes,1,Potential difficult airway
E012,"Iodine-deficiency-related (endemic) goitre, unspecified",Yes,1,Potential difficult airway
E018,Other iodine-deficiency-related thyroid disorders and allied conditions,Yes,1,Drug metabolism
E02X,Subclinical iodine-deficiency hypothyroidism,No,,
E030,Congenital hypothyroidism with diffuse goitre,Yes,1,Potential difficult airway
E031,Congenital hypothyroidism without goitre,No,,
E032,Hypothyroidism due to medicaments and other exogenous substances,No,,
E033,Postinfectious hypothyroidism,No,,
E034,Atrophy of thyroid (acquired),No,,
E035,Myxoedema coma,Yes,2,Severe physiological derangement possible
E038,Other specified hypothyroidism,No,,
E039,"Hypothyroidism, unspecified",No,,
E040,Nontoxic diffuse goitre,Yes,1,Potential difficult airway
E041,Nontoxic single thyroid nodule,No,,
E042,Nontoxic multinodular goitre,Yes,1,Potential difficult airway
E048,Other specified nontoxic goitre,Yes,1,Potential difficult airway
E049,"Nontoxic goitre, unspecified",Yes,1,Potential difficult airway
E050,Thyrotoxicosis with diffuse goitre,Yes,2,Severe physiological derangement possible
E051,Thyrotoxicosis with toxic single thyroid nodule,Yes,2,Severe physiological derangement possible
E052,Thyrotoxicosis with toxic multinodular goitre,Yes,2,Severe physiological derangement possible
E053,Thyrotoxicosis from ectopic thyroid tissue,Yes,2,Severe physiological derangement possible
E054,Thyrotoxicosis factitia,Yes,2,Severe physiological derangement possible
E055,Thyroid crisis or storm,Yes,2,Severe physiological derangement possible
E058,Other thyrotoxicosis,Yes,2,Severe physiological derangement possible
E059,"Thyrotoxicosis, unspecified",Yes,2,Severe physiological derangement possible
E060,Acute thyroiditis,Yes,1,May need Rx
E061,Subacute thyroiditis,No,,
E062,Chronic thyroiditis with transient thyrotoxicosis,Yes,1,May need Rx
E063,Autoimmune thyroiditis,Yes,1,May need Rx
E064,Drug-induced thyroiditis,Yes,1,May need Rx
E065,Other chronic thyroiditis,Yes,1,May need Rx
E069,"Thyroiditis, unspecified",Yes,1,May need Rx
E070,Hypersecretion of calcitonin,Yes,1,May need Rx
E071,Dyshormogenetic goitre,Yes,1,Potential difficult airway
E078,Other specified disorders of thyroid,No,,
E079,"Disorder of thyroid, unspecified",No,,
E100,Type 1 diabetes mellitus: With coma,Yes,2,
E101,Type 1 diabetes mellitus: With ketoacidosis,Yes,2,
E102,Type 1 diabetes mellitus: With renal complications,No,,
E103,Type 1 diabetes mellitus: With ophthalmic complications,No,,
E104,Type 1 diabetes mellitus: With neurological complications,No,,
E105,Type 1 diabetes mellitus: With peripheral circulatory complications,No,,
E106,Type 1 diabetes mellitus: With other specified complications,No,,
E107,Type 1 diabetes mellitus: With multiple complications,No,,
E108,Type 1 diabetes mellitus: With unspecified complications,No,,
E109,Type 1 diabetes mellitus: Without complications,No,,
E110,Type 2 diabetes mellitus: With coma,Yes,2,
E111,Type 2 diabetes mellitus: With ketoacidosis,Yes,2,
E112,Type 2 diabetes mellitus: With renal complications,No,,
E113,Type 2 diabetes mellitus: With ophthalmic complications,No,,
E114,Type 2 diabetes mellitus: With neurological complications,No,,
E115,Type 2 diabetes mellitus: With peripheral circulatory complications,No,,
E116,Type 2 diabetes mellitus: With other specified complications,No,,
E117,Type 2 diabetes mellitus: With multiple complications,No,,
E118,Type 2 diabetes mellitus: With unspecified complications,No,,
E119,Type 2 diabetes mellitus: Without complications,No,,
E120,Malnutrition-related diabetes mellitus: With coma,Yes,2,
E121,Malnutrition-related diabetes mellitus: With ketoacidosis,Yes,2,
E122,Malnutrition-related diabetes mellitus: With renal complications,Yes,1,
E123,Malnutrition-related diabetes mellitus: With ophthalmic complications,Yes,1,
E124,Malnutrition-related diabetes mellitus: With neurological complications,Yes,1,
E125,Malnutrition-related diabetes mellitus: With peripheral circulatory complications,Yes,1,
E126,Malnutrition-related diabetes mellitus: With other specified complications,Yes,1,
E127,Malnutrition-related diabetes mellitus: With multiple complications,Yes,2,
E128,Malnutrition-related diabetes mellitus: With unspecified complications,Yes,1,
E129,Malnutrition-related diabetes mellitus: Without complications,Yes,1,
E130,Other specified diabetes mellitus: With coma,Yes,2,
E131,Other specified diabetes mellitus: With ketoacidosis,Yes,2,
E132,Other specified diabetes mellitus: With renal complications,No,,
E133,Other specified diabetes mellitus: With ophthalmic complications,No,,
E134,Other specified diabetes mellitus: With neurological complications,No,,
E135,Other specified diabetes mellitus: With peripheral circulatory complications,No,,
E136,Other specified diabetes mellitus: With other specified complications,No,,
E137,Other specified diabetes mellitus: With multiple complications,No,,
E138,Other specified diabetes mellitus: With unspecified complications,No,,
E139,Other specified diabetes mellitus: Without complications,No,,
E140,Unspecified diabetes mellitus: With coma,Yes,2,
E141,Unspecified diabetes mellitus: With ketoacidosis,Yes,2,
E142,Unspecified diabetes mellitus: With renal complications,No,,
E143,Unspecified diabetes mellitus: With ophthalmic complications,No,,
E144,Unspecified diabetes mellitus: With neurological complications,No,,
E145,Unspecified diabetes mellitus: With peripheral circulatory complications,No,,
E146,Unspecified diabetes mellitus: With other specified complications,No,,
E147,Unspecified diabetes mellitus: With multiple complications,No,,
E148,Unspecified diabetes mellitus: With unspecified complications,No,,
E149,Unspecified diabetes mellitus: Without complications,No,,
E15X,Nondiabetic hypoglycaemic coma,Yes,2,
E160,Drug-induced hypoglycaemia without coma,Yes,1,
E161,Other hypoglycaemia,Yes,1,
E162,"Hypoglycaemia, unspecified",Yes,1,
E163,Increased secretion of glucagon,Yes,1,
E164,Abnormal secretion of gastrin,Yes,1,
E168,Other specified disorders of pancreatic internal secretion,No,,
E169,"Disorder of pancreatic internal secretion, unspecified",No,,
E200,Idiopathic hypoparathyroidism,Yes,1,
E201,Pseudohypoparathyroidism,Yes,1,
E208,Other hypoparathyroidism,Yes,1,
E209,"Hypoparathyroidism, unspecified",Yes,1,
E210,Primary hyperparathyroidism,Yes,1,
E211,"Secondary hyperparathyroidism, not elsewhere classified",Yes,1,
E212,Other hyperparathyroidism,Yes,1,
E213,"Hyperparathyroidism, unspecified",Yes,1,
E214,Other specified disorders of parathyroid gland,No,,
E215,"Disorder of parathyroid gland, unspecified",No,,
E220,Acromegaly and pituitary gigantism,No,,
E221,Hyperprolactinaemia,No,,
E222,Syndrome of inappropriate secretion of antidiuretic hormone,Yes,1,
E228,Other hyperfunction of pituitary gland,No,,
E229,"Hyperfunction of pituitary gland, unspecified",No,,
E230,Hypopituitarism,Yes,1,
E231,Drug-induced hypopituitarism,Yes,1,
E232,Diabetes insipidus,Yes,1,
E233,"Hypothalamic dysfunction, not elsewhere classified",No,,
E236,Other disorders of pituitary gland,No,,
E237,"Disorder of pituitary gland, unspecified",No,,
E240,Pituitary-dependent Cushing disease,Yes,1,
E241,Nelson syndrome,Yes,1,
E242,Drug-induced Cushing syndrome,Yes,1,
E243,Ectopic ACTH syndrome,Yes,1,
E244,Alcohol-induced pseudo-Cushing syndrome,Yes,1,
E248,Other Cushing syndrome,Yes,1,
E249,"Cushing syndrome, unspecified",Yes,1,
E250,Congenital adrenogenital disorders associated with enzyme deficiency,No,,
E258,Other adrenogenital disorders,No,,
E259,"Adrenogenital disorder, unspecified",No,,
E260,Primary hyperaldosteronism,Yes,1,
E261,Secondary hyperaldosteronism,Yes,1,
E268,Other hyperaldosteronism,Yes,1,
E269,"Hyperaldosteronism, unspecified",Yes,1,
E270,Other adrenocortical overactivity,Yes,1,
E271,Primary adrenocortical insufficiency,Yes,1,
E272,Addisonian crisis,Yes,2,
E273,Drug-induced adrenocortical insufficiency,Yes,1,
E274,Other and unspecified adrenocortical insufficiency,Yes,1,
E275,Adrenomedullary hyperfunction,Yes,1,
E278,Other specified disorders of adrenal gland,Yes,1,
E279,"Disorder of adrenal gland, unspecified",Yes,1,
E280,Ovarian dysfunction: Estrogen excess,No,,
E281,Ovarian dysfunction: Androgen excess,No,,
E282,Polycystic ovarian syndrome,No,,
E283,Primary ovarian failure,No,,
E288,Other ovarian dysfunction,No,,
E289,"Ovarian dysfunction, unspecified",No,,
E290,Testicular hyperfunction,No,,
E291,Testicular hypofunction,No,,
E298,Other testicular dysfunction,No,,
E299,"Testicular dysfunction, unspecified",No,,
E300,Delayed puberty,No,,
E301,Precocious puberty,No,,
E308,Other disorders of puberty,No,,
E309,"Disorder of puberty, unspecified",No,,
E310,Autoimmune polyglandular failure,Yes,1,
E311,Polyglandular hyperfunction,Yes,1,
E318,Other polyglandular dysfunction,Yes,1,
E319,"Polyglandular dysfunction, unspecified",Yes,1,
E320,Persistent hyperplasia of thymus,No,,
E321,Abscess of thymus,No,,
E328,Other diseases of thymus,No,,
E329,"Disease of thymus, unspecified",No,,
E340,Carcinoid syndrome,Yes,1,
E341,Other hypersecretion of intestinal hormones,Yes,1,
E342,"Ectopic hormone secretion, not elsewhere classified",No,,
E343,"Short stature, not elsewhere classified",No,,
E344,Constitutional tall stature,No,,
E345,Androgen resistance syndrome,No,,
E348,Other specified endocrine disorders,No,,
E349,"Endocrine disorder, unspecified",No,,
E350,Disorders of thyroid gland in diseases classified elsewhere,No,,
E351,Disorders of adrenal glands in diseases classified elsewhere,No,,
E358,Disorders of other endocrine glands in diseases classified elsewhere,No,,
E40X,Kwashiorkor,Yes,1,
E41X,Nutritional marasmus,Yes,1,
E42X,Marasmic kwashiorkor,Yes,1,
E43X,Unspecified severe protein-energy malnutrition,Yes,1,
E440,Moderate protein-energy malnutrition,Yes,1,
E441,Mild protein-energy malnutrition,No,,
E45X,Retarded development following protein-energy malnutrition,No,,
E46X,Unspecified protein-energy malnutrition,No,,
E500,Vitamin A deficiency with conjunctival xerosis,No,,
E501,Vitamin A deficiency with Bitot spot and conjunctival xerosis,No,,
E502,Vitamin A deficiency with corneal xerosis,No,,
E503,Vitamin A deficiency with corneal ulceration and xerosis,No,,
E504,Vitamin A deficiency with keratomalacia,No,,
E505,Vitamin A deficiency with night blindness,No,,
E506,Vitamin A deficiency with xerophthalmic scars of cornea,No,,
E507,Other ocular manifestations of vitamin A deficiency,No,,
E508,Other manifestations of vitamin A deficiency,No,,
E509,"Vitamin A deficiency, unspecified",No,,
E511,Beriberi,Yes,1,
E512,Wernicke encephalopathy,Yes,1,
E518,Other manifestations of thiamine deficiency,Yes,1,
E519,"Thiamine deficiency, unspecified",Yes,1,
E52X,Niacin deficiency [pellagra],Yes,1,
E530,Riboflavin deficiency,Yes,1,
E531,Pyridoxine deficiency,Yes,1,
E538,Deficiency of other specified B group vitamins,Yes,1,
E539,"Vitamin B deficiency, unspecified",Yes,1,
E54X,Ascorbic acid deficiency,No,,
E550,"Rickets, active",No,,
E559,"Vitamin D deficiency, unspecified",No,,
E560,Deficiency of vitamin E,No,,
E561,Deficiency of vitamin K,Yes,1,
E568,Deficiency of other vitamins,No,,
E569,"Vitamin deficiency, unspecified",No,,
E58X,Dietary calcium deficiency,No,,
E59X,Dietary selenium deficiency,No,,
E60X,Dietary zinc deficiency,No,,
E610,Copper deficiency,No,,
E611,Iron deficiency,No,,
E612,Magnesium deficiency,No,,
E613,Manganese deficiency,No,,
E614,Chromium deficiency,No,,
E615,Molybdenum deficiency,No,,
E616,Vanadium deficiency,No,,
E617,Deficiency of multiple nutrient elements,No,,
E618,Deficiency of other specified nutrient elements,No,,
E619,"Deficiency of nutrient element, unspecified",No,,
E630,Essential fatty acid [EFA] deficiency,No,,
E631,Imbalance of constituents of food intake,No,,
E638,Other specified nutritional deficiencies,No,,
E639,"Nutritional deficiency, unspecified",No,,
E640,Sequelae of protein-energy malnutrition,No,,
E641,Sequelae of vitamin A deficiency,No,,
E642,Sequelae of vitamin C deficiency,No,,
E643,Sequelae of rickets,No,,
E648,Sequelae of other nutritional deficiencies,No,,
E649,Sequelae of unspecified nutritional deficiency,No,,
E65X,Localized adiposity,No,,
E660,Obesity due to excess calories,Yes,1,
